科类代码,科类名称,院校代码,院校名称,专业代码,专业名称,计划数,综合分,位次号
4,体育类,4604,海南经贸职业技术学院,503,社会体育,2,539,4-02436
4,体育类,59,浙江广厦建设职业技术大学,515,社会体育,23,538,4-02478
4,体育类,3555,泉州海洋职业学院,518,体育保健与康复,5,538,4-02492
4,体育类,4601,海口经济学院,534,运动训练,3,538,4-02473
4,体育类,5322,昆明城市学院,503,体育教育,2,538,4-02494
4,体育类,3683,宜春幼儿师范高等专科学校,514,社会体育,8,537,4-02511
4,体育类,4604,海南经贸职业技术学院,504,体育运营与管理,3,536,4-02547
4,体育类,5170,四川城市职业学院,507,体育教育,2,536,4-02548
4,体育类,3569,漳州理工职业学院,504,体育教育,6,534,4-02619
4,体育类,3610,江西应用科技学院,520,社会体育,15,534,4-02613
4,体育类,3643,景德镇艺术职业大学,515,社会体育,4,533,4-02637
4,体育类,59,浙江广厦建设职业技术大学,516,运动训练,23,530,
4,体育类,2237,吉林体育学院,3,运动人体科学,20,530,
4,体育类,3160,上海震旦职业学院,521,健身指导与管理,25,530,
4,体育类,3236,金山职业技术学院,523,社会体育,10,530,
4,体育类,3262,南京视觉艺术职业学院,521,高尔夫球运动与管理,10,530,
4,体育类,3534,泉州华光职业学院,517,电子竞技运动与管理,4,530,
4,体育类,3555,泉州海洋职业学院,517,社会体育,10,530,
4,体育类,4601,海口经济学院,503,民族传统体育（武术搏击）,2,530,
4,体育类,4601,海口经济学院,536,运动训练（网球）,6,530,
4,体育类,5124,四川国际标榜职业学院,508,体育教育,50,530,
4,体育类,5170,四川城市职业学院,507,体育教育,5,530,
4,体育类,5172,四川长江职业学院,507,体育教育,10,530,
4,体育类,5228,贵州城市职业学院,501,社会体育,10,530,
4,体育类,5322,昆明城市学院,503,体育教育,5,530,
4,体育类,5339,云南理工职业学院,508,运动训练,4,530,
4,体育类,5339,云南理工职业学院,509,休闲体育,2,530,
4,体育类,3236,金山职业技术学院,523,社会体育,4,528,4-02787
4,体育类,4601,海口经济学院,534,运动训练,1,528,4-02800
4,体育类,3555,泉州海洋职业学院,517,社会体育,5,526,4-02864
4,体育类,3534,泉州华光职业学院,517,电子竞技运动与管理,2,524,4-02925
4,体育类,59,浙江广厦建设职业技术大学,516,运动训练,41,522,4-02985
4,体育类,4601,海口经济学院,503,民族传统体育（武术搏击）,1,520,4-03057
4,体育类,5339,云南理工职业学院,509,休闲体育,1,520,4-03066
4,体育类,3160,上海震旦职业学院,521,健身指导与管理,18,512,4-03290
4,体育类,3262,南京视觉艺术职业学院,521,高尔夫球运动与管理,9,508,4-03398
4,体育类,4601,海口经济学院,536,运动训练（网球）,5,505,4-03468
4,体育类,5339,云南理工职业学院,508,运动训练,3,502,4-03539
4,体育类,3568,厦门东海职业技术学院,503,高尔夫球运动与管理,5,498,4-03630
4,体育类,5051,重庆健康职业学院,501,运动健康指导,5,496,4-03668
4,体育类,5172,四川长江职业学院,507,体育教育,9,496,4-03675
4,体育类,5156,四川文轩职业学院,524,运动训练,3,493,4-03740
4,体育类,5045,重庆资源与环境保护职业学院,513,休闲体育,15,488,4-03846
4,体育类,5124,四川国际标榜职业学院,508,体育教育,36,488,4-03838
4,体育类,5051,重庆健康职业学院,502,社会体育,5,487,4-03855
4,体育类,5156,四川文轩职业学院,523,社会体育,7,482,4-03928
4,体育类,2237,吉林体育学院,3,运动人体科学,16,469,
4,体育类,5158,江阳城建职业学院,509,休闲体育,12,469,
4,体育类,5172,四川长江职业学院,502,社会体育,10,469,
4,体育类,5178,四川应用技术职业学院,521,社会体育,5,469,
4,体育类,5184,资阳环境科技职业学院,512,健身指导与管理,10,469,
4,体育类,5185,南充电影工业职业学院,519,社会体育,18,469,
4,体育类,5187,德阳农业科技职业学院,521,社会体育,30,469,
4,体育类,5227,贵州工贸职业学院,508,社会体育,15,469,
4,体育类,5228,贵州城市职业学院,501,社会体育,9,469,
