科类方向代码,科类方向名称,院校代码,院校名称,专业代码,专业名称,计划数,综合分,位次号
B,美术与设计类,4424,华南理工大学,23,服装与服饰设计,2,614,B-00337
G,播音与主持类,1142,北京语言大学,28,播音与主持艺术（中英双语）,2,614,G-00042
B,美术与设计类,1154,中国地质大学(北京),30,艺术与科技,1,613,B-00351
B,美术与设计类,3104,华东理工大学,22,设计学类,10,613,B-00365
B,美术与设计类,3112,上海大学,39,戏剧影视美术设计,2,613,B-00354
B,美术与设计类,4093,中国地质大学(武汉),25,产品设计（珠宝首饰设计）,2,613,B-00357
B,美术与设计类,2,中国美术学院,14,艺术与科技(中外合作办学),19,612,B-00381
B,美术与设计类,3101,东华大学,5,服装与服饰设计,10,612,B-00383
G,播音与主持类,5005,西南大学,39,播音与主持艺术,5,612,G-00049
B,美术与设计类,1113,北京工业大学,5,设计学类,4,611,B-00408
Cc,音乐类音乐教育器乐主项,1149,首都师范大学,12,音乐学（钢琴主项）(师范),2,611,Cc00011
G,播音与主持类,4440,深圳大学,30,播音与主持艺术,2,611,G-00051
B,美术与设计类,3259,南京师范大学,30,设计学类,4,610,B-00417
Ea,表(导)演类戏剧影视表演方向,4055,武汉大学,38,表演,3,610,Ea00011
B,美术与设计类,1121,北京交通大学,17,设计学类,5,609,B-00432
B,美术与设计类,3731,山东大学,41,美术学,3,609,B-00430
Cc,音乐类音乐教育器乐主项,6108,陕西师范大学,17,音乐学（理论）(师范),2,609,Cc00015
B,美术与设计类,3112,上海大学,30,美术学（美术史论）,4,608,B-00465
B,美术与设计类,3112,上海大学,34,艺术设计学,2,608,B-00461
B,美术与设计类,3153,上海戏剧学院,6,动画,2,608,B-00474
B,美术与设计类,3216,江南大学,50,公共艺术,5,608,B-00478
B,美术与设计类,3251,南京理工大学,19,设计学类,8,608,B-00470
B,美术与设计类,3259,南京师范大学,29,跨媒体艺术,4,608,B-00464
B,美术与设计类,3281,苏州大学,35,环境设计,4,608,B-00462
Ca,音乐类音乐表演器乐方向,3763,中国海洋大学,39,音乐表演（琵琶）,1,608,Ca00023
Cd,音乐类音乐教育声乐主项,3259,南京师范大学,26,音乐学(师范),5,608,Cd00013
B,美术与设计类,3732,山东大学威海分校,13,视觉传达设计,3,607,B-00483
Cb,音乐类音乐表演声乐方向,4447,香港中文大学(深圳),4,音乐表演（声乐美声）,2,607,Cb00014
B,美术与设计类,3112,上海大学,33,工艺美术,2,606,B-00524
B,美术与设计类,3246,南京航空航天大学,46,戏剧影视美术设计,2,606,B-00509
B,美术与设计类,3246,南京航空航天大学,47,环境设计,2,606,B-00523
B,美术与设计类,3267,南京信息工程大学,37,数字媒体艺术,3,606,B-00504
B,美术与设计类,3272,南京艺术学院,33,数字媒体艺术,2,606,B-00538
B,美术与设计类,2,中国美术学院,12,产品设计(中外合作办学),19,605,B-00540
B,美术与设计类,1161,中国戏曲学院,21,戏剧影视美术设计（舞台灯光设计）,1,605,B-00571
B,美术与设计类,3101,东华大学,2,环境设计,9,605,B-00565
B,美术与设计类,3112,上海大学,42,影视摄影与制作,3,605,B-00563
B,美术与设计类,3216,江南大学,47,环境设计,8,605,B-00548
B,美术与设计类,4072,武汉理工大学,26,设计学类,7,605,B-00558
B,美术与设计类,4440,深圳大学,32,设计学类,8,605,B-00568
B,美术与设计类,5005,西南大学,41,绘画,2,605,B-00541
G,播音与主持类,3,浙江工业大学,45,播音与主持艺术,15,605,G-00068
B,美术与设计类,1128,北京林业大学,1,设计学类,8,604,B-00585
B,美术与设计类,2124,东北大学,21,设计学类,7,604,B-00586
B,美术与设计类,3112,上海大学,27,环境设计,3,604,B-00584
B,美术与设计类,4428,暨南大学,13,动画,5,604,B-00589
Ea,表(导)演类戏剧影视表演方向,3101,东华大学,10,表演（影视戏剧）,1,604,Ea00018
G,播音与主持类,3145,上海师范大学,11,播音与主持艺术,3,604,G-00074
B,美术与设计类,1161,中国戏曲学院,24,动画,1,603,B-00613
B,美术与设计类,3272,南京艺术学院,11,产品设计,1,603,B-00606
B,美术与设计类,3543,厦门大学,26,数字媒体艺术(中外合作办学),10,603,B-00611
B,美术与设计类,5005,西南大学,40,视觉传达设计,3,603,B-00623
G,播音与主持类,3148,上海体育大学,8,播音与主持艺术,4,603,G-00078
B,美术与设计类,3145,上海师范大学,9,动画,4,602,B-00645
B,美术与设计类,3272,南京艺术学院,7,视觉传达设计,2,602,B-00659
